Title,Research Finding 研究发现功能段,Transition I 背景类过渡段,Background information
Exposure to collective gender-based violence causes intimate partner violence,"10：
Our central result is that a man ’s exposure to wartime sexual violence against women as a soldier significantly increases his pro pensity to commit violence against a female intimate partner more than a decade after the end of the war and, on average, about 18 years after exposure. We contend that this effect is not driven by local effects, omitted individual variables, measurement error, linear model specification, mis-specified inter-correlations in the error term or the choice of our preferred instrumental variable specification.
11：
We present empirical evidence to argue that the underlying mechanism is a lasting reduction in self-control, fostering more impulsive and automatic responses to critical situations with their partner. Surprisingly, we find no support for alternative theories based on living up to norms of gender, social models of violence, distress or a reduction in economic bargaining power, which have dominated explanations of intimate partner violence in across disciplines. Our findings are consistent with an interpretation of IPV as ‘expressive’ behavior, where men intrinsically value the expression of violence and violent acts may arise as an unintended outcome.","3：
This paper studies the causal long-run impacts of individual experiences on intimate partner violence. Specifically, we focus on exposure to collective gender-based violence and ask how wartime exposure to sexual violence against women affects veterans’ long-run propensity to commit intimate partner violence.
4：
We study the impact of exposure to wartime sexual violence for two?main reasons. First, perpetrating or witnessing violence is often associated with engaging in violent behavior in the future – ‘violence begets violence’ (Pollak, 2004; Littman and Paluck, 2015). Second, sexual violence is among the most intense and recurring forms of gender-based violence and war atrocities,affecting millions of people across the world as victims and perpetrators. Starting with events in Bosnia and Rwanda, awareness for wartime sexual violence in the globalpolicy discourse has increased rapidly, and United Nations Security Council Resolution 1820 recognizes that “rape and other forms of sexual violence can constitute war crimes, crimes against humanity or a constitutiveact with respectto genocide” (UN, 2008, p. 3). Nonetheless, armed groups around the world continue to perpetrate sexual violence, including contexts as diverse as Liberia, Eastern Congo, Colombia, Timor–Leste, Pakistan, or Iraq and Syria (Cohen et al., 2013).","""1"": ""Globally, one in three women experience domestic violence in their lifetime"",  ""2"": ""Identifying reliable policies of preventing and reducing domestic violence is proving difficult"",  ""3"": ""Exposure to collective gender-based violence is studied to understand its impact on intimate partner violence"",  ""4"": ""Sexual violence is among the most intense and recurring forms of gender-based violence and war atrocities"",  ""5"": ""Awareness for wartime sexual violence in the global policy discourse has increased rapidly"",  ""6"": ""Existing research on the drivers of intimate partner violence is limited and lacks cohesion"",  ""7"": ""The study focuses on the long-run impacts of exposure to collective gender-based violence on intimate partner violence"",  ""8"": ""High quality micro-level data on conflict experiences beyond exposure to battlefield violence is scarce"",  ""9"": ""Unobserved individual-level factors may vary simultaneously with wartime exposure to sexual violence and domestic violence today"",  ""10"": ""The study collected detailed primary survey data on exposure to wartime sexual violence and intimate partner violence"",  ""11"": ""The identification strategy relies on a natural experiment in Huambo province, Angola"",  ""12"": ""The Angolan Civil War created exogenous variation in exposure to wartime sexual violence against women"",  ""13"": ""Men born about 20 years before spikes in wartime sexual violence were at a much higher risk of exposure"",  ""14"": ""Exposure to wartime sexual violence significantly increases the propensity to commit violence against a female intimate partner"",  ""15"": ""The underlying mechanism is a lasting reduction in self-control"","
Live tutoring calls did not improve learning during the COVID-19 pandemic in Sierra Leone,"5：
We find no effect of calls by either private or government teachers on mathematics or language test scores. This is robust to controls for student characteristics and school fixed effects, and differences in survey mode (in-person or phone). We do find some positive effects of tutoring calls on educational engagement by parents and children. Tutoring calls increase an index of student activity by 0.29 standard deviations and an index of parent activity by 0.27 standard deviations. Within this index, however, we see no statistically significant effect on the probability that children listened to educational radio, and only a 4 percentage point increase (significant at the 10 percent level) in the probability that their parent knew the correct FM frequency.
6：
Re-enrolment was over 99 percent even in the control group, so we see no effect of calls on re-enrolment. Private school teachers (who were directly managed by the project implementer) did exert greater effort than the government school teachers. Private school teachers placed 59 percent of planned calls, compared to 41 percent for government school teachers. But this extra effort did not translate to any difference in student outcomes. This lack of a difference in outcomes across implementers – despite a difference in implementation fidelity suggests that the null finding results not from an implementation failure but in the effectiveness of the intervention itself. Many students did not listen to educational radio at all (43 percent in the control group and 34 percent in the treatment group), so low uptake of the educational radio is potential part of the reason for a lack of impact on student learning.","2:
To keep students engaged and learning during school closures, governments around the world abruptly shifted to distance learning.?In low-income countries, the medium with the greatest reach is radio. The Government of Sierra Leone, like many others, announced a national radio teaching programme shortly after schools closed in March 2020. Many governments and partners complemented radio teaching with SMS-based reminders. In Sierra Leone, a number of non-state organisations, including our implementation partner Rising Academy Network, supported the Government to develop content for the radio teaching programme and provided SMS reminders. Missing from these and similar efforts, however, is any direct interaction between teachers and students. Teachers add significant value to student learning (Chetty et al., 2014), but little of that value is explained by teacher characteristics (Bau and Das, 2020), suggesting that effective interactions may drive teacher effects.","""1"": ""School closures due to the COVID-19 pandemic resulted in children missing out on direct learning in classrooms."",  ""2"": ""Distance learning was implemented during school closures, with radio being the medium with the greatest reach in low-income countries like Sierra Leone."","
Manufacturing employment and women’s agency: Evidence from Lesotho 2004–2014,,"2：
The paper contributes to the sparse literature identifying causal impacts of manufacturing work on the agency of women in poor countries. The combined shocks to textile demand from the US durig the 200809 Global Financial Crisis (GFC), and the gradual phase-out of the MFA together resulted in a large, temporary, decline in RMG employment in Lesotho. Because of the lack of other well-paid employment for women, these shocks to RMG demand provide an opportunity to examine the impact of a high-wage, formalised work environment on women’s say in resource allocation in households and measures of women’s health. A pseudo-panel spanning 2004–2014 is constructed to identify causal impacts of RMG employment on these outcomes. Women who reside closer to potential RMG employment are more likely to work in the?sector. Exogenous variation in RMG employment propensities from the combination of distance between a woman’s residence and the nearest IZ and these demand shocks is exploited for inference.
3:
The RMG sector began in the early 1980s with investments from South Africa. These investments were facilitated by the Lesotho National Development Cooperation. Investors could circumvent sanctions on South Africa which otherwise prevented selling to the US and European markets (UNCTAD, 2002, Steele, 2002, Gibbon, 2003). By 2004, the RMG sector had become the main non-agricultural employer in Lesotho, engaged more formal-sector workers than the government, and was the source of a majority of export revenue (Lall, 2006, International Finance Corporation, 2010). Under AGOA, foreign direct investment in Lesotho increased substantially (Central Bank of Lesotho, 2004, Central Bank of Lesotho, 2005). The sector is dominated by Taiwanese and South African-owned factories producing for the US market (Balchin and Calabrese, 2019, World Trade Organization, 2017). As of 2017, about 82% of workers were women. In 2017, the RMG sector employed about 46500 workers in Lesotho, down from a peak of 54 000 in early 2003 (Lesotho Ministry of Trade and Industry, 2017).
4：
RMG production is concentrated primarily in the suburbs of Maseru, the national capital, and Thetsane, Mafeteng, Leribe and Mohale’s Hoek. The Maseru zone remains the largest employer, likely because transportation costs for finished goods are lowest from this location. The proximity of the Maseru suburbs to the railhead leading to the South African sea port of Durban also lowers lag time between orders and deliveries.
5:
Wages and working conditions in the RMG sector are strongly regulated in Lesotho. A child labour ban is enforced by the government. RMG sector workers are also generally unionised, and may have access to on-site childcare and healthcare (Gibbon, 2003). Factories operating in the IZs pay much higher wages both relative to local alternatives and relative to those paid in other RMG host countries including Vietnam and Bangladesh. In 2007, the average monthly earnings of an employee in the RMG sector was $US 103, and the minimum monthly earnings for a general textile worker in Lesotho was $US 93 (RMG Bangladesh, 2016). In 2007, annual GDP per capita was far lower: 846 current US$, a monthly equivalent of 71 US$ (World Bank, 2022b). Still, production costs were internationally competitive in the early 2000s. Eifert et al. (2005) calculated the labour costs per shirt produced in Lesotho in 2004 as 0.19 current US dollars, far under the 0.65 for South Africa and 0.29 for export processing zones in China. The minimum monthly earnings for a textile worker had risen to $US 138 by August 2018 (Abdullah Al Mahfuz, 2018).","""1"": ""The paper examines the impact of women's employment in export-oriented textile manufacturing in Lesotho on decision-making in poor households."",  ""2"": ""The paper focuses on the effects of RMG employment on women's agency, resource allocation in households, and women's health."",  ""3"": ""RMG exports in Lesotho grew rapidly after the signing of the US African Growth and Opportunities Act (AGOA) in May 2000."",  ""4"": ""The first AGOA agreement guaranteed duty-free status on imports to the US from beneficiary countries until at least September 2008."",  ""5"": ""The AGOA agreement created incentives for large-scale foreign direct investment in garment manufacturing facilities and for national governments to invest in industrial zones (IZs)."",  ""6"": ""By 2012, Lesotho became the largest Sub-Saharan African exporter of garments to the US."",  ""7"": ""RMG employment in Lesotho provided many women with their first opportunity to earn money outside of agriculture."",  ""8"": ""The combined shocks to textile demand from the US during the 2008-09 Global Financial Crisis and the gradual phase-out of the Multi-Fibre Agreement (MFA) resulted in a large, temporary decline in RMG employment in Lesotho."",  ""9"": ""The paper constructs a pseudo-panel spanning 2004-2014 to identify causal impacts of RMG employment on women's agency."",  ""10"": ""Women who reside closer to potential RMG employment are more likely to work in the sector."",  ""11"": ""The paper exploits exogenous variation in RMG employment propensities from the combination of distance between a woman's residence and the nearest IZ and demand shocks."",  ""12"": ""The RMG sector in Lesotho began in the early 1980s with investments from South Africa, facilitated by the Lesotho National Development Cooperation."",  ""13"": ""Foreign direct investment in Lesotho increased substantially under AGOA."",  ""14"": ""The RMG sector in Lesotho is dominated by Taiwanese and South African-owned factories producing for the US market."",  ""15"": ""As of 2017, about 82% of workers in the RMG sector in Lesotho were women."","
Social and financial incentives for overcoming a collective action problem,"8：
We find that group-level monetary reward has the strongest impact in the short term, inducing an 7.5 to 12.5 percentage point (pp) increase in the share of households with hygienic latrines. The public commitment treatment caused a 4.2 to 6.3 pp increase in that same period. Neither the non-monetary reward nor the private commitment treatments had statistically significant impacts. In the medium term, the effect of the monetary reward dissipates relative to the comparison group, while the effect of the public commitment treatment persists. We find that in the case of both the monetary reward and public commitment treatments, households tended to meet the short-run assessment criteria for hygienic status through small, relatively inexpensive improvements to or repairs of existing latrines, rather than making large investments in major improvements or on entirely new latrines. In the public commitment group, households tended to maintain these small?improvements into the medium-term, while those in the monetary reward group tended to let these improvements depreciate.","2：
Since these pathogens are communicable, a large portion of the health gains from a household’s use of a hygienic latrine likely accrue to other households in the community (Fuller et al., 2016, Andrés et al., 2017).  This creates a divergence between the incidence of benefits and costs, and with it, a classic collective action problem — while it may be in all households’ interests collectively for all households to use and maintain hygienic latrines, any individual household may not find these behaviors privately optimal.:With strong institutions, regulation mandating adoption and enforcing use can solve this problem.  However, in the absence of such institutions, other tools are required.","""1"": ""Open defecation is practiced by one billion people worldwide, leading to the spread of infections and child stunting."",  ""2"": ""The health benefits of using hygienic latrines extend to other households in the community."","
The political impacts of land expropriation in China,"8：
I begin by estimating the overall political impacts. The empirical finding is that if households have directly experienced land expropriation, both political beliefs and political behavior of individuals in these households are affected. Specifically, exposure to land expropriation decreases individuals’ trust towards local government officials by 0.07 standard deviations, which is equal to about 36% of the mean difference in political trust between individuals with Chinese Communist Party (CCP) membership and those without. In addition, exposure to land expropriation increases the probability of having conflicts with local government officials by about 2.5%, compared to a sample mean of 5%, which means it increases the incidence of experiencing conflicts with government officials by around 50%. These adverse effects imply that expropriating land is indeed politically costly for local governments. The results are robust to a variety of internal validity checks.
9：
The empirical analysis also yields three important findings, which further have some important political implications. First, the dynamic estimates show that the effects on both political outcomes are not persistent, instead, they eventually attenuate to zero about four years after treatment. Second, I do not find statistically significant spillover effects, suggesting that the control group of non-expropriated individuals is not affected by the expropriation of the land of their neighbors. Last, individuals subject to expropriation also negatively assess government service and quality, but the effects are significant and remarkable only in the short run. Taken together, these results suggest that the adverse political impacts are not persistent and restrictive to those affected only. In other words, to some extent, land expropriation in rural areas may not pose a fatal threat to China’s political regime.
10：
The Wukan example is by no means the only way in which how land takings occur in China. It epitomizes the worse possible features of land seizures (i.e., low compensation, no ex-ante negotiation, corruption, abuse of enforcement, no public benefits). Arguably, the outcomes could be different if the expropriation does not occur in that way. For instance, one may ask what would be the consequences if the projects are well managed and justified by local governments and/or the land is taken for public use (e.g., expressways and high-speed rail). To this end, I next turn to consider the role of compensation in determining the political effects, and the extent to which the adverse political impacts depend upon governance quality, the public benefits of projects, and the importance of the agricultural land for affected households.
11：
Of course, many factors could intermediate the relationship between land expropriation and political outcomes. I provide four insights into this link. First, I provide evidence that households’ economic wellbeing is not significantly affected by land expropriation, given that (i) land expropriation does not create negative shocks to total household income,8 and (ii) saving asset (bank deposits and cash) of affected households increases, even though it is not persistent. However, compared to the market value of the land, the compensation is very low, indicative of an uneven redistribution of land rents between farmers and local government and property developers, which is likely to be perceived by farmers as unfair. This view is supported by a comparison with urban housing demolition which produces large, positive wealth shocks to affected households and has no impact on political outcomes.9 Second, I find that the adverse political impacts can largely be avoided by sound local governance as reflected by (i) availability of information?about the expropriation projects at the village level, (ii) high government transparency level, and (iii) low government corruption level. Third, the political costs also can be reduced or even eliminated in villages that experience infrastructure improvement (e.g., gaining access to roads and railways or providing electricity or tap water) during the same period when villagers have their land expropriated. Last, the adverse political impacts are less salient for households with at least one member working in the non-agricultural sector before having their land expropriated. In other words, the political costs appear to arise mainly from perceived unfairness of compensation and nontransparent governance and can be reduced when projects generate public benefits or households depend less on agriculture.","2:
State expropriation is generally justified by the public interest. The state is expected to employ expropriation as a policy tool to provide?public goods and to develop the economy more generally.3 Since these goals deliver benefits to the public, whether expropriation has political costs, and if so, how detrimental the costs are, could be contextdependent. Public perceptions of the motivations for expropriation could influence the extent to which expropriation leads to adverse political impacts. To explore this relationship, this study examines two circumstances that may enable the state to implement expropriation projects without losing citizens’ political support. First, if local officials have a reputation for good governance, the expropriation projects are likely to be well managed and justified and the process of expropriation may be implemented in a manner which is more transparent. In this case, state expropriation may not necessarily have high political costs. Second, public use of the expropriated resources may be important. When the projects generate public benefits, the interests of both the government and the citizens are aligned and adverse political impacts may not emerge.
3：
China provides an excellent empirical setting to study the political consequences of state expropriation. As the world’s largest developing country, China has employed land expropriation to support development policies for several decades. Local governments have the authority to seize agricultural land and provide relatively low compensation. It is striking that, according to the China Family Panel Studies (CFPS), a nationally representative longitudinal survey, the proportion of households who have had at least some of their land expropriated by 2018 was 30% (see Fig. 1). There is no doubt that land expropriation has contributed to China’s economic development and growth by facilitating infrastructure construction and urbanization.4 However, are there political costs associated with this development policy? And if so, is it possible for the government to mitigate the costs? Little is known quantitatively about these questions, although they are of great interest and policy relevance.
4：
This paper argues that land expropriation incurs political costs for the Chinese government. The Wukan event, which attracted worldwide attention, provides a vivid illustration.5 In September 2011, Wukan villagers launched large-scale violent protests against the government after they discovered that the village and township governments transferred more than half of their agricultural land to a private real estate company without ex-ante negotiation or providing proper compensation to villagers. Some managers including the vice-CEO of the private company were village cadres, suggesting that corruption may have occurred at the local level.6 Before organizing the protests, the villagers?petitioned the provincial government but received no satisfactory resolution. After interacting with local government officials, some villagers were arrested and jailed; and one died after being arrested by the police. During the process, the villagers gradually lost their trust in the local government and called for an investigation by the central government. Finally, a peaceful agreement between the villagers and the government was reached after a top provincial leader intervened and acknowledged the villagers’ basic demands.","""1"": ""State expropriation is common in human history and prevalent in developing countries. It may lead to rent extraction, insecure property rights, and unfavorable outcomes."",  ""2"": ""State expropriation is justified by the public interest, but public perceptions of the motivations for expropriation can influence its political costs."",  ""3"": ""China has employed land expropriation for economic development, with 30% of households experiencing expropriation by 2018."",  ""4"": ""The Wukan event in China illustrates the political costs of land expropriation, leading to protests, loss of trust in the government, and conflicts with officials."",  ""5"": ""The study focuses on individuals' political trust and conflicts with local government officials as outcomes of land expropriation."",  ""6"": ""The study uses a national individual-level panel data set from the China Family Panel Studies (CFPS) for the period 2010-2018 to analyze the political impacts of land expropriation."",  ""7"": ""The study employs a generalized difference-in-differences approach to compare changes in political trust and conflicts before and after experiencing land expropriation."",  ""8"": ""Exposure to land expropriation decreases political trust and increases the probability of conflicts with local government officials."",  ""9"": ""The adverse political impacts of land expropriation are not persistent and do not have significant spillover effects."",  ""10"": ""The outcomes of land expropriation can vary depending on factors such as compensation, governance quality, public benefits, and household dependence on agriculture."",  ""11"": ""Land expropriation may be perceived as unfair due to low compensation, but sound local governance and public benefits can mitigate the adverse political impacts."",  ""12"": ""The study contributes to the understanding of the trade-off between property rights and development goals in the context of state expropriation."",  ""13"": ""The study extends the empirical literature by examining the political consequences of government expropriation, which has received less attention compared to its economic impacts."",  ""14"": ""The study provides insights into the relationship between land expropriation and political trust, highlighting the role of government performance and perceived fairness."",  ""15"": ""The paper presents important background information, introduces the data, explains the empirical strategy, and reports the main results on political impacts."""
Trade-induced competition and ownership dynamics,"6：
We focus on domestic private firms in the analysis. In contrast to state-owned enterprises (SOEs) which possess natural political connections that help them resist competitive pressures, or foreign-controlled firms, which are themselves the major beneficiaries of trade liberalization, domestic private firms are more susceptible to trade-induced competition. Our results are robust to the inclusion of all firms, but the sample with a clearly defined ownership group provides a cleaner estimate of ownership changes than the all-firmsample. Moreover, since China’s opening policy commenced and a few decades of economic reforms have occurred, private firms have become an important component of the national economy. According to the latest statistics based on the annual surveys of industrial firms in China, domestic private firms account for more than 75% of all enterprises and contribute about 60% of China’s employment and output.8 With this representative sample of Chinese firms, we find that the firms more affected by the intensified import competition do not alter their state ownership but relatively increase their foreign ownership compared with the less affected firms. The magnitude of the increaseis considerable. A one-standard-deviation increase in the shock intensity is associated with a relative increase of 0.03 standard deviations in foreign ownership ratio, which accounts for 11% of its sample mean. If we consider firms in the top versus bottom decile of the trade shock, those more shocked by the trade liberalization increase their foreign ownership more than those less shocked by an amount accounting for 24% (7%) of the sample mean (standard deviation).
7：
We explore the heterogeneity of firm responses along theoretically motivated dimensions. First, we examine how firm responses vary between regions with different economic conditions and institutional environments. We find that the baseline patterns of change in foreign ownership are mainly concentrated in more developed regions, as characterized by greater regional gross domestic product (GDP), higher household consumption, and better infrastructure development, and in regions with better functioning markets and institutions, which feature less government intervention, less local protectionism, more mature legal systems, and stronger support for innovation compared with other regions. Second, we explore two potential channels through which foreign shareholders can help firms respondto competitive shocks. First, we find that comparedwith other firms, those in industries with a larger innovation gap relative to the international technology frontiers and?with greater reliance on labor versus physical capital have more incentives to introduce foreign shareholders because they can benefitfrom the adoption of advanced technologies through the participation of foreign investors. Second, we use US industries as the benchmark and compare firms in industries with more versus less dependence on external finance. We find that firms with greater financing needs do indeed have a greater relative increase in foreign shareholders than firms with less dependence on external financing. This result lends support to the financing channel, which suggests that firms sell their equity to foreign investors to circumvent financial constraints. Taken together, our findings are consistent with the strategic role of ownership in strengthening the competitiveness of firms and suggest that product market competition is an important force in ownership dynamics.","2.
As a fundamental market force, product market competition has become more intense in recent decades. Waves of trade liberalization, including recent developments in China, have significantly shifted the domestic landscape of competition and induced firms to transform themselves in various ways (Bloom et al., 2016). We use the largesttrade liberalization in China, marked by China’s accession to the World Trade Organization (WTO) in December 2001, to examine whether and how firms alter their ownership choices in response to trade-induced?competition.2 Abundant anecdotal evidence suggests that firm managers consider the nature and potential roles of ownersas a core aspectof their firms’ strategy sets and activelyconsider whether to adjust ownership to strengthen firms’ competitiveness. For example, Xuzhou Construction Machinery Group, the largest construction machinery manufacturer and distributor in China, has actively sought to introduce strategic investors since 2002 to facilitate its structural reform, improve its technology management expertise and corporate governance, and raise capital.3 More recently, Suning.com, a large online retailer in China, introduced government-backed strategic investors to mitigate its financial distress and reduce operational frictions.4 Given the strategic roles that different ownership types can play in a competitiveenvironment, we hypothesize that certain changes in state and foreign shareholders are avenues for firms to strengthen their competitiveness.","""1"": ""Corporate ownership structure has significant impacts on corporate policies and activities, such as governance, financing, investment, and innovation."",  ""2"": ""Product market competition has become more intense in recent decades, especially with China's accession to the World Trade Organization in 2001."",  ""3"": ""Firms may seek to increase their state ownership as competition increases, as state shareholders can provide greater financing capacity and favorable treatment in capital and product markets."",  ""4"": ""Firms may seek to increase their foreign ownership in response to competitive shocks, as foreign shareholders can improve corporate governance, promote technology transfers and innovation, alleviate financial constraints, and provide better access to global capital markets."","
Fighting violence against women: The role of female political representation,"5：
We find that the presence of a female mayor in Brazilian municipalities is associated with a significant and sizable reduction in domestic violence against women of relevant age (between 15 and 49) over the 4-year term: around 50% reduction for both femicide and other measures of violence against women (physical violence, psychological violence, sexual violence). Furthermore, our analysis revealed a reduction in total violence (including non-domestic violence) but did not observe an impact on the total number of homicides. Our results are robust to the inclusion of standard controls and to several validation and falsification tests. In particular, we do not find an effect on violent crime against men, general mortality, the motor vehicle accident fatality rate, and the suicide rate for both males and females, separately. It is worth stressing, that by using the number of murders as one of the proxy for violence helps in addressing issues of under-reporting which might be present for less extreme acts of violence.3 To clearly identify the mechanisms that explain such results is challenging. From existing evidence and some novel results we suggest that female mayors have an increased attention to policies that might favor women welfare, however we do not find clear evidence that female mayors are more likely than men to introduce women’s shelter or women police stations, policies that are managed and implemented by state governors.","2:
As emphasized by the United Nations in its sustainable development goal, “eliminating all forms of violence against all women and girls in the public and private spheres” is a crucial objective to achieve gender equality and empower all women and girls. Official statistics provide a clear picture of this global tragedy. One in three women worldwide experience physical or sexual violence affecting both women’s well-being and their participation in society and politics.1 Moreover, more than 50% of homicides with female victims are perpetrated by intimate partners or other family members.2 Despite being a global issue, violence against women is much more prevalent in low and lower-middle income countries and regions, forcing many countries to adopt specific legislation to criminalize femicide and gender-based violence. For instance in Brazil, according to official statistics, a woman is killed every two hours and assaulted every 15 s (Cerqueira and Bueno, 2020).","""1"": ""Female political representation has been found to be more socially oriented than male representation."",  ""2"": ""Violence against women is a global issue, with one in three women worldwide experiencing physical or sexual violence."",  ""3"": ""The share of women in politics has significantly increased in almost every country, shaping social and economic policy."",  ""4"": ""Identifying the causal effects of female leaders on violence is challenging due to potential municipality characteristics that correlate with both female leadership and violence against women."",  ""5"": ""The presence of a female mayor in Brazilian municipalities is associated with a significant reduction in domestic violence against women, including femicide, physical violence, psychological violence, and sexual violence."","
Seeing Is Believing- Can Increasing the Number of Female Leaders Reduce Sex Selection in Rural India?,"7：
By investigating child death rates, I test whether the underlying mechanism is that changes in health services disproportionately favored highest birth order girls. I do not find that high birth order girls, amongst children who have survived infancy, have different survival rates during early childhood than girls in general, suggesting that health services remained constant across birth orders. I also test the claim that female leaders directly reduced sex selection fertility services by investigating the impact of female reservations on sex ratios across different socioeconomic statuses. Studies have shown that the use of sex selective abortions is most common amongst more educated women, and less educated women do not appear to rely on abortions as a method of sex selection (Jha et al., 2011, P?rtner, 2016). Thus, restriction of fertility services should more directly impact more educated women. I find that the effects in this paper are strongest for poor and illiterate women, suggesting that the restriction of fertility services likely does not explain the results. Rather, because the least educated women do not rely on abortion as a means to sex select, the reduction in sex ratios documented in this paper is likely driven by increased survival of high birth order girls.
8：
While the main analysis in the paper exploits state-level variation in the timing associated with an increased total level of female leadership within a state, I also investigate if female headship at the district-level Panchayat explains the reduction in high birth order sex ratios in rural areas. I find that the effect is not explained by female headship at the district-level Panchayat, suggesting that female leadership at lower-level Panchayats (the village or the block level) is likely driving the results. Surprisingly, however, I also find that female headship at the district level reduces high birth order sex ratios in the urban population within the district. This is unexpected as the amendment affects local-level government for rural, and not urban, India. I argue that there are reasons to believe that exposure to district-level women leaders is more prominent in urban towns due to the location of district-level offices and media exposure. Consistent with exposure to women leaders being the mechanism, I find that seat reservations for women at the district-level Panchayat decreases the high birth order ratio of boys in areas where exposure to district Panchayat leaders is arguably high, but not in the areas where the Panchayats target their goods and services.","2：While improved enforcement of the ban might succeed in reducing sex ratios, such a policy could have unwanted consequences. Research suggests that in countries with a preference for boys, prenatal sex selection may be a substitute for forms of postnatal discrimination such as infanticide, malnourishment, and an overall lower level of investment in female children (Kalsi, 2015, Lin et al., 2014). Given the issue of substitution across forms of discrimination, policies aimed at reducing the demand for boys by targeting the underlying son preference are preferable to policies that restrict the supply of sex selection technologies. In this paper, I explore whether improving the status of women within society could reduce son preference.
3：
I take advantage of a 1993 amendment to India's constitution, which established a three-tier system of rural governing local bodies (Panchayats) within each state. States were required to develop Panchayats at the village, the block, and the district level. The law also required that these newly developed Panchayats reserve one-third of all political positions, including those of chairpersons, for women. As a result, a state's adoption of the law led to a drastic increase in female political representation at local levels within the state.","""1"": ""Sex selection has been linked to skewed sex ratios in several Asian countries."",  ""2"": ""Research suggests that in countries with a preference for boys, prenatal sex selection may be a substitute for forms of postnatal discrimination such as infanticide, malnourishment, and an overall lower level of investment in female children."",  ""3"": ""A 1993 amendment to India's constitution established a three-tier system of rural governing local bodies (Panchayats) within each state, which required one-third of all political positions to be reserved for women."",  ""4"": ""Increased female political representation has been shown to improve the status of female constituents, leading to increased likelihood of women being elected in the future, women speaking at political meetings, higher aspirations for daughters, increased reporting of crime against women, and increased establishment of female-owned businesses in the informal sector."",  ""5"": ""Female political involvement shifts policymaking towards increased investment in goods preferred by women, and female leaders also invest more in health services."","
Under Pressure: Women’s Leadership during the COVID-19 Crisis,"4：
We find that the presence of a female leader in Brazilian Municipalities had a negative, sizable, and significant impact on the number of COVID-19 deaths and hospitalizations per 100 thousand inhabitants. Our results show that electing a woman as a mayor causes a decrease from 46.9 to 51.0 COVID-19 hospitalizations per 100 thousand inhabitants, which represents 30.4 to 33.0 percent of the outcome average among the municipalities that elected a man. Similarly, we document a drop of 21.7 to 25.5 COVID-19 deaths per 100 thousand inhabitants decreases in municipalities that elected a woman, around 37.2 to 43.7 percent of the outcome average among the municipalities that elected a man. We also show that electing a female mayor causes a statistically significant in the number of non-pharmaceutical interventions (NPIs) enforced in the municipality in 2020. In particular, we show that female leaders are more likely to adopt mandatory use of face masks and forbid gatherings. In contrast, we do not find evidence that women increase investment in health care neither before nor after the pandemic outbreak. Finally, we show that these effects are stronger in municipalities where voters are more supportive of Brazilian President Jair Bolsonaro, who openly disavowed vaccines and NPIs during the pandemic. This finding exemplifies the role local leaders can play in counteracting bad policies implemented by populist leaders at the national level.
7：
One possible concern is that mayors’ characteristics that are relevant for policymaking could be driving our results (Alesina et al., 2019). In particular, the fact that female mayors tend to be more educated in Brazilian municipalities could be an issue (Arvate et al., 2017). We show that, in fact, there is a small and non-robust unbalance in both years of education and ideological preferences between female and male leaders. In order to verify if these characteristics are driving our results, we show that our findings do not change after accounting for them in our regressions. This suggests that the difference we document is likely driven by differences in non-observable traits between female and male leaders. We discuss some possible mechanisms in the results section.","6：
Brazil is the ideal setting to understand the role of female leadership during the pandemic for several reasons. First, Brazil was severely hit by the first wave of COVID-19, with considerable variation in deaths and hospitalizations across municipalities (Souza et al., 2020). Second, Brazilian municipalities enjoy considerable autonomy to adopt policies. Finally, Brazil hosts many competitive local elections, providing statistical power to compare outcomes in mixed-gender close races, as previous works have successfully done.","""1"": ""Political leadership plays a crucial role in shaping social and economic outcomes"",  ""2"": ""The response of leaders around the globe to the COVID-19 crisis varied remarkably"",  ""3"": ""Developing countries like Brazil, Mexico, and India experienced intense and persistent COVID-19 outbreaks"",  ""4"": ""Countries led by women, such as New Zealand, Germany, Taiwan, and Bangladesh, outperformed those led by men"",  ""5"": ""Brazil was severely affected by the first wave of COVID-19, with significant variation in deaths and hospitalizations across municipalities"",  ""6"": ""Brazilian municipalities have considerable autonomy to adopt policies"",  ""7"": ""Brazil has competitive local elections, providing statistical power to compare outcomes in mixed-gender close races"",  ""8"": ""Female empowerment improves social and economic outcomes, but the role of female leadership in global policy issues is not well understood"",  ""9"": ""Little is known about the role of women as policymakers in times of crisis"",  ""10"": ""Previous studies comparing COVID-19 responses in countries ruled by women and men have yielded inconclusive results"",  ""11"": ""The Regression Discontinuity (RD) design is used to identify the effect of electing a female mayor on COVID-19 outcomes"",  ""12"": ""A dynamic local difference-in-difference approach is employed to estimate the effect of electing a female mayor on hospitalizations and deaths caused by SARI"",  ""13"": ""Female mayors in Brazilian municipalities had a negative, sizable, and significant impact on COVID-19 deaths and hospitalizations"",  ""14"": ""Female leaders were more likely to adopt non-pharmaceutical interventions (NPIs) such as mandatory use of face masks and restrictions on gatherings"",  ""15"": ""The effects of female leadership were stronger in municipalities where voters were more supportive of the populist president who denied the severity of the crisis"","
